FIPS Country Code	FIPS ADM1 Code	ADM1 Name	Region
AA	00	Aruba (general)	1 - Americas/Western Europe
AC	00	Antigua and Barbuda (general)	1 - Americas/Western Europe
AC	01	Barbuda	1 - Americas/Western Europe
AC	03	Saint George	1 - Americas/Western Europe
AC	04	Saint John	1 - Americas/Western Europe
AC	05	Saint Mary	1 - Americas/Western Europe
AC	06	Saint Paul	1 - Americas/Western Europe
AC	07	Saint Peter	1 - Americas/Western Europe
AC	08	Saint Philip	1 - Americas/Western Europe
AE	00	United Arab Emirates (general)	3 - Africa/Middle East
AE	01	Ab? Z?aby	3 - Africa/Middle East
AE	02	‘Ajm?n	3 - Africa/Middle East
AE	03	Dubayy	3 - Africa/Middle East
AE	04	Al Fujayrah	3 - Africa/Middle East
AE	05	Ra?s al Khaymah	3 - Africa/Middle East
AE	06	Ash Sh?riqah	3 - Africa/Middle East
AE	07	Umm al Qaywayn	3 - Africa/Middle East
AF	00	Afghanistan (general)	4 - Central Asia/Russia
AF	01	Badakhsh?n	4 - Central Asia/Russia
AF	02	B?dgh?s	4 - Central Asia/Russia
AF	03	Baghl?n	4 - Central Asia/Russia
AF	05	B?m??n	4 - Central Asia/Russia
AF	06	Far?h	4 - Central Asia/Russia
AF	07	F?ry?b	4 - Central Asia/Russia
AF	08	Ghazn?	4 - Central Asia/Russia
AF	09	Ghowr	4 - Central Asia/Russia
AF	10	Helmand	4 - Central Asia/Russia
AF	11	Her?t	4 - Central Asia/Russia
AF	13	K?bol	4 - Central Asia/Russia
AF	14	K?p?s?	4 - Central Asia/Russia
AF	15	(AF15)	4 - Central Asia/Russia
AF	16	(AF16)	4 - Central Asia/Russia
AF	17	Lowgar	4 - Central Asia/Russia
AF	18	Nangarh?r	4 - Central Asia/Russia
AF	19	N?mr?z	4 - Central Asia/Russia
AF	20	(AF20)	4 - Central Asia/Russia
AF	21	(AF21)	4 - Central Asia/Russia
AF	22	(AF 22)	4 - Central Asia/Russia
AF	23	Kandah?r	4 - Central Asia/Russia
AF	24	Kondoz	4 - Central Asia/Russia
AF	26	Takh?r	4 - Central Asia/Russia
AF	27	Vardak	4 - Central Asia/Russia
AF	28	Z?bol	4 - Central Asia/Russia
AF	29	Pakt?k?	4 - Central Asia/Russia
AF	30	Balkh	4 - Central Asia/Russia
AF	31	Jowzj?n	4 - Central Asia/Russia
AF	32	Samang?n	4 - Central Asia/Russia
AF	33	Sar-e Pol	4 - Central Asia/Russia
AF	34	Konar	4 - Central Asia/Russia
AF	35	Laghm?n	4 - Central Asia/Russia
AF	36	Pakt??	4 - Central Asia/Russia
AF	37	Khowst	4 - Central Asia/Russia
AF	38	N?rest?n	4 - Central Asia/Russia
AF	39	Or?zg?n	4 - Central Asia/Russia
AF	40	Parv?n	4 - Central Asia/Russia
AF	41	D?ykond?	4 - Central Asia/Russia
AF	42	Panjsh?r	4 - Central Asia/Russia
AG	00	Algeria (general)	1 - Americas/Western Europe
AG	01	Alger	1 - Americas/Western Europe
AG	03	Batna	1 - Americas/Western Europe
AG	04	Constantine	1 - Americas/Western Europe
AG	06	Médéa	1 - Americas/Western Europe
AG	07	Mostaganem	1 - Americas/Western Europe
AG	09	Oran	1 - Americas/Western Europe
AG	10	Saïda	1 - Americas/Western Europe
AG	12	Sétif	1 - Americas/Western Europe
AG	13	Tiaret	1 - Americas/Western Europe
AG	14	Tizi Ouzou	1 - Americas/Western Europe
AG	15	Tlemcen	1 - Americas/Western Europe
AG	18	Bejaïa	1 - Americas/Western Europe
AG	19	Biskra	1 - Americas/Western Europe
AG	20	Blida	1 - Americas/Western Europe
AG	21	Bouira	1 - Americas/Western Europe
AG	22	Djelfa	1 - Americas/Western Europe
AG	23	Guelma	1 - Americas/Western Europe
AG	24	Jijel	1 - Americas/Western Europe
AG	25	Laghouat	1 - Americas/Western Europe
AG	26	Mascara	1 - Americas/Western Europe
AG	27	M?sila	1 - Americas/Western Europe
AG	29	Oum el Bouaghi	1 - Americas/Western Europe
AG	30	Sidi Bel Abbès	1 - Americas/Western Europe
AG	31	Skikda	1 - Americas/Western Europe
AG	33	Tébessa	1 - Americas/Western Europe
AG	34	Adrar	1 - Americas/Western Europe
AG	35	Aïn Defla	1 - Americas/Western Europe
AG	36	Aïn Temouchent	1 - Americas/Western Europe
AG	37	Annaba	1 - Americas/Western Europe
AG	38	Béchar	1 - Americas/Western Europe
AG	39	Bordj Bou Arréridj	1 - Americas/Western Europe
AG	40	Boumerdes	1 - Americas/Western Europe
AG	41	Chlef	1 - Americas/Western Europe
AG	42	El Bayadh	1 - Americas/Western Europe
AG	43	El Oued	1 - Americas/Western Europe
AG	44	El Tarf	1 - Americas/Western Europe
AG	45	Ghardaïa	1 - Americas/Western Europe
AG	46	Illizi	1 - Americas/Western Europe
AG	47	Khenchela	1 - Americas/Western Europe
